Company Name,Year_Funded,Founded_in,Industry,Round/Series,Amount,Location,About Company,Investors,Revenue 2018,Revenue 2019,Revenue 2020,Revenue 2021,Revenue 2022,Revenue 2023
TheCollegeFever,2018,2017.0,Brand Marketing,Seed,1185023.45,"Bengaluru, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",Unknown,1231939.0996956136,2164388.684260299,2271022.6685949494,2317343.138227847,1954832.1462187786,2785630.535726166
Happy Cow Dairy,2018,2017.0,Agriculture,Seed,1517658.82,"Mumbai, Maharashtra, India",A startup which aggregates milk from dairy farmers in rural Maharashtra.,Unknown,2188918.2738792794,2750802.4438403444,2907050.336929791,2683197.181589757,2652909.1337115797,3248958.4409279483
MyLoanCare,2018,2017.0,Credit,Series A,976422.14,"Gurugram, Haryana, India",Leading Online Loans Marketplace in India,Unknown,1262826.6956152571,1702362.710049728,1704407.917923517,1907583.7221779865,1898211.5153446312,2291272.500769672
PayMe India,2018,2017.0,Financial Services,Angel,848651.93,"Noida, Uttar Pradesh, India",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,Unknown,1287439.4183785482,1426416.3623307631,1295137.3115986495,1529722.0162069371,1736171.541580436,2013573.5723876131
Hasura,2018,2017.0,Cloud Infrastructure,Seed,502155.65,"Bengaluru, Karnataka, India","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Unknown,626970.8330139708,660704.9082191412,792182.0712250589,923855.6168686232,820886.4163361088,950087.4573336156
Tripshelf,2018,2017.0,Internet,Seed,1570845.28,"Kalkaji, New Delhi, India",Tripshelf is an online market place for holiday packages.,Unknown,1600779.476631021,2875409.1017479356,2893083.1450165967,3119715.8875133633,3350007.80265578,3708583.159687716
Hyperdata.IO,2018,2017.0,Market Research,Angel,1683795.35,"Hyderabad, Andhra Pradesh, India",Hyperdata combines advanced machine learning with human intelligence.,Unknown,2582522.3920497713,2803737.288332948,2945686.2800524207,2839035.836218156,2764458.4784130803,3117502.663654376
Freightwalla,2018,2017.0,Information Services,Seed,1591624.66,"Mumbai, Maharashtra, India",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Unknown,2455310.807475651,2231817.304688732,2750612.7495601648,2878089.107567424,2826348.3098301953,3878999.8496493893
Microchip Payments,2018,2017.0,Mobile Payments,Seed,669555.71,"Bengaluru, Karnataka, India",Microchip payments is a mobile-based payment application and point-of-sale device,Unknown,875879.8610463872,975787.724001316,1190903.0530147676,1175692.2853018458,1137082.1090032365,1215473.5196157189
BizCrum Infotech Pvt. Ltd.,2018,2017.0,B2B,Seed,817677.55,"New Delhi, New Delhi, India",Building Transactionary B2B Marketplaces,Unknown,1040506.3933446276,1477023.705613997,1347472.2010211188,1312772.2639922479,1713863.8839785792,1723246.5508265446
