Company Name,Year_Funded,Founded_in,Industry,Round/Series,Amount,Location,About Company,Investors,Revenue 2018,Revenue 2019,Revenue 2020,Revenue 2021,Revenue 2022,Revenue 2023
TheCollegeFever,2018,2017.0,Brand Marketing,Seed,1185023.45,"Bengaluru, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",Unknown,1115001.1740567400,1199000.3695282900,1645371.1536703400,1475105.3910648200,1890167.5115198400,2100217.18317243
Euler Motors,2018,2018,EV,Seed,60000000,Bengaluru,"Builds commercial three-wheelers with fast charging for 50km deliveries in 15 minutes of charge, and a payload capacity of nearly 700kg",Unknown,2188918.2738792800,2164388.684260300,2271022.6685949500,2317343.138227850,1954832.1462187800,2785630.535726170
Happy Cow Dairy,2018,2017.0,Agriculture,Seed,1517658.82,"Mumbai, Maharashtra, India",A startup which aggregates milk from dairy farmers in rural Maharashtra.,Unknown,2188918.2738792800,2750802.4438403400,2907050.336929790,2683197.181589760,2652909.1337115800,3248958.4409279500
Rivian,2018,2009,EV,Unknown,250000000,Outside India,"Electric vehicle manufacturer that produces two-wheelers, three-wheelers, and electric cars",Unknown,2059546.377567240,2095365.1525708700,2420507.4043310400,2134141.729969980,2181368.671805790,2618028.6613248000
Lucid Motors,2018,2007,EV,Unknown,4500000000,Outside India,Designs and manufactures smart electric scooters[,Unknown,866506.4525889940,762177.5757342550,906681.8757947960,919463.028704778,1021013.6414388200,1030985.18372352
NIO,2018,2014,EV,Unknown,115000000,Outside India,Provides dockless bicycle sharing services,Unknown,1561883.2360378800,2289138.9478482400,2192985.8943124200,2989592.0878706400,2969100.2467383900,3374432.281466200
Byton,2018,2017,EV,Unknown,500000000,Outside India,Provides electric vehicle fleet management services,Unknown,1584386.9792202400,2657422.383596720,2417186.8043148600,2392576.866521010,3144024.364884350,2940674.1545064100
Faraday Future,2018,2014,EV,Unknown,200000000,Outside India,Provides electric vehicle fleet management services,Unknown,2147123.8635922000,2617273.0787505400,3056563.8904766500,2380887.6842755100,3101039.868925590,3232709.964324660
SF Motors,2018,2016,EV,Unknown,300000000,Outside India,"Acquired Etergo BV, a Dutch electric scooter manufacture",Unknown,1739784.2667958200,1599697.8454696900,1687889.4399539400,1919265.6809574200,2187572.1442270300,2274815.5411149600
Bollinger Motors,2018,2015,EV,Unknown,100000000,Outside India,Produces smart electric cars with autonomous driving capabilities 2,Unknown,3101858.925583570,3640476.09092512,3105311.4762758200,3228117.5713506500,3195983.9520823000,3793016.2243973500
Canon,2018,2017,EV,Unknown,307000000,Outside India,Designs and develops electric vehicles for subscription-based mobility services 3,Unknown,2059546.377567240,2095365.1525708700,2420507.4043310400,2134141.729969980,2181368.671805790,2618028.6613248000
MyLoanCare,2018,2017.0,Credit,Series A,976422.14,"Gurugram, Haryana, India",Leading Online Loans Marketplace in India,Unknown,1262826.6956152600,1702362.710049730,1704407.917923520,1907583.7221779900,1898211.5153446300,2291272.500769670
PayMe India,2018,2017.0,Financial Services,Angel,848651.93,"Noida, Uttar Pradesh, India",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,Unknown,1287439.4183785500,1426416.3623307600,1295137.3115986500,1529722.0162069400,1736171.541580440,2013573.5723876100
Hasura,2018,2017.0,Cloud Infrastructure,Seed,502155.65,"Bengaluru, Karnataka, India","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Unknown,626970.8330139710,660704.9082191410,792182.0712250590,923855.6168686230,820886.4163361090,950087.4573336160
Tripshelf,2018,2017.0,Internet,Seed,1570845.28,"Kalkaji, New Delhi, India",Tripshelf is an online market place for holiday packages.,Unknown,1600779.476631020,2875409.1017479400,2893083.1450166000,3119715.8875133600,3350007.80265578,3708583.159687720
Hyperdata.IO,2018,2017.0,Market Research,Angel,1683795.35,"Hyderabad, Andhra Pradesh, India",Hyperdata combines advanced machine learning with human intelligence.,Unknown,2582522.3920497700,2803737.288332950,2945686.2800524200,2839035.836218160,2764458.4784130800,3117502.663654380
Freightwalla,2018,2017.0,Information Services,Seed,1591624.66,"Mumbai, Maharashtra, India",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Unknown,2455310.807475650,2231817.304688730,2750612.7495601600,2878089.107567420,2826348.3098302000,3878999.8496493900
Microchip Payments,2018,2017.0,Mobile Payments,Seed,669555.71,"Bengaluru, Karnataka, India",Microchip payments is a mobile-based payment application and point-of-sale device,Unknown,875879.8610463870,975787.724001316,1190903.0530147700,1175692.2853018500,1137082.1090032400,1215473.5196157200
Fisker Inc,2018,2016,,,,,,,,,,,,
BizCrum Infotech Pvt. Ltd.,2018,2017.0,B2B,Seed,817677.55,"New Delhi, New Delhi, India",Building Transactionary B2B Marketplaces,Unknown,1040506.3933446300,1477023.705614000,1347472.2010211200,1312772.2639922500,1713863.8839785800,1723246.5508265400
Emojifi,2018,2017.0,Internet,Seed,1331437.31,"Bengaluru, Karnataka, India","Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",Unknown,1597541.3853742500,2460680.608223800,2555300.946373690,2473414.7697659600,2680476.5219404500,3182266.932784050
Flock,2018,2017.0,Apps,Seed,893169.32,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Unknown,1318189.180790560,1532223.1243006300,1666572.9883377400,1784220.2334175900,1601360.4905343400,2177374.977157600
Freshboxx,2018,2017.0,Food Delivery,Seed,1326806.41,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",Unknown,2126826.281188570,1743738.0441624400,2051595.629223630,2127662.7103160900,2427024.069502590,2852342.215050950
Wide Mobility Mechatronics,2018,2017.0,Industrial Automation,Seed,688465.47,"Bengaluru, Karnataka, India",Wide Mobility Mechatronics is a Private Company limited by Shares,Unknown,847096.302429008,1307636.9347610800,1010532.956005550,1239868.61537274,1226087.2402790200,1517132.7582293800
Pitstop,2018,2017.0,Automotive,Seed,916340.72,"Bengaluru, Karnataka, India",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Unknown,1174089.4449932400,1289338.1274381400,1379650.7676443500,1525054.3570138400,1683657.6390366700,1728110.415011320
Mihuru,2018,2017.0,Finance,Seed,873878.93,"Mumbai, Maharashtra, India",Mihuru is an online platform which gives micro loans for air travel .,Unknown,1447291.0777873100,1199000.3695282900,1645371.1536703400,1475105.3910648200,1890167.5115198400,2100217.18317243
Fyle,2018,2017.0,Accounting,Seed,1449752.07,"Bengaluru, Karnataka, India",Fyle is an intelligent expense management platform for enterprises.,Unknown,1682523.82055243,2352587.253045250,2810516.306155140,2768030.641325280,3057217.778832450,3579014.5237989600
AppWharf,2018,2017.0,Artificial Intelligence,Seed,1794370.54,"New New Delhi, New Delhi, India",Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,Unknown,2104838.008326300,2490371.3330567900,3371042.2285676100,3210343.8438390900,3776798.263070120,3285660.1615708000
Antariksh Waste Ventures Pvt ltd,2018,2017.0,Internet of Things,Seed,984903.94,"Chennai, Tamil Nadu, India",Waste Management for Smart Cities,Unknown,1367764.9261777300,1850224.3512549700,1700157.163672800,1521189.6029707600,2002558.2388584700,2063693.5231553500
PaisaDukan,2018,2017.0,Financial Services,Seed,1891265.45,"Mumbai, Maharashtra, India",A P2P lending marketplace platform,Unknown,2882841.421972610,3066718.069716070,3271246.894772560,3473879.354830110,3723388.354333140,4482762.086630720
Sleepy Owl Coffee,2018,2017.0,Food and Beverage,Seed,1984232.08,"New New Delhi, New Delhi, India","Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",Unknown,3215296.073264790,2828342.2975705500,3621313.8029272200,3348174.5367491500,3492616.775660450,4084427.5721389100
BlueJack,2018,2017.0,Autonomous Vehicles,Seed,1255541.48,"New Delhi, New Delhi, India",Delhi-based online used vehicles marketplace.,Unknown,1874388.5330620000,1987896.6080666300,2256955.5827191100,2344023.911133540,2216174.5979761900,2890726.467755110
PregBuddy,2018,2017.0,Enterprise Software,Seed,836997.97,"Bengaluru, Karnataka, India",PregBuddy is a smart connected care platform for expecting mothers.,Unknown,1420006.893074490,1184298.9813350100,1449198.4332288100,1357339.5252001400,1526782.547151430,1717144.1773606600
